"Issue Type","Summary","Description","Epic Name","Epic Link","Story Points","Sprint","Labels","Labels","Labels"
"Story","TCK-14-API system — a resolved ticket closes itself once the window passes","*system* — a resolved ticket closes itself once the window passes

Story folder: .squad/stories/tickets/TCK-14-API-auto-close/

Rules this story owns:
- T-6 — A resolved ticket auto-closes after 14 days.

Cannot ship before: TCK-11-API","","Tickets","3","Block 7","api","tickets","system"
"Story","TCK-15-API agent — I search tickets by their text","*agent* — I search tickets by their text

Story folder: .squad/stories/tickets/TCK-15-API-ticket-search/

Rules this story owns:
- BR-4 — No unbounded list: paginated, filterable, sortable, with a maximum page size.

Cannot ship before: TCK-1-API","","Tickets","5","Block 11","api","tickets","agent"
"Story","TCK-15-WEB agent — I search tickets by their text","*agent* — I search tickets by their text

Story folder: .squad/stories/tickets/TCK-15-WEB-ticket-search/

Rules this story owns:
- BR-4 — No unbounded list: paginated, filterable, sortable, with a maximum page size.

Cannot ship before: TCK-1-API","","Tickets","3","Block 11","web","tickets","agent"
"Story","CNV-1-API agent — I reply; the first public reply opens the ticket and stops the clock, once","*agent* — I reply; the first public reply opens the ticket and stops the clock, once

Story folder: .squad/stories/conversation/CNV-1-API-reply-stops-clock/

Rules this story owns:
- T-2 — The first public agent reply moves new to open and stops the response clock, once.
- S-1 — Two clocks from creation: response and resolution.

Cannot ship before: TCK-7-API, SLA-1-API","","Conversation","5","Block 6","api","conversation","agent"
"Story","CNV-1-WEB agent — I reply; the first public reply opens the ticket and stops the clock, once","*agent* — I reply; the first public reply opens the ticket and stops the clock, once

Story folder: .squad/stories/conversation/CNV-1-WEB-reply-stops-clock/

Rules this story owns:
- T-2 — The first public agent reply moves new to open and stops the response clock, once.
- S-1 — Two clocks from creation: response and resolution.

Cannot ship before: TCK-7-API, SLA-1-API","","Conversation","3","Block 6","web","conversation","agent"
"Story","CNV-1-MOB agent — I reply; the first public reply opens the ticket and stops the clock, once","*agent* — I reply; the first public reply opens the ticket and stops the clock, once

Story folder: .squad/stories/conversation/CNV-1-MOB-reply-stops-clock/

Rules this story owns:
- T-2 — The first public agent reply moves new to open and stops the response clock, once.
- S-1 — Two clocks from creation: response and resolution.

Cannot ship before: TCK-7-API, SLA-1-API","","Conversation","3","Block 10","mob","conversation","agent"
"Story","CNV-2-API agent — my internal note never reaches a customer, in any response","*agent* — my internal note never reaches a customer, in any response

Story folder: .squad/stories/conversation/CNV-2-API-note-never-leaks/

Rules this story owns:
- SC-2 — Every rule is enforced in the API; no client enforces anything.

Cannot ship before: CNV-1-API","","Conversation","5","Block 6","api","conversation","agent"
"Story","CNV-2-WEB agent — my internal note never reaches a customer, in any response","*agent* — my internal note never reaches a customer, in any response

Story folder: .squad/stories/conversation/CNV-2-WEB-note-never-leaks/

Rules this story owns:
- SC-2 — Every rule is enforced in the API; no client enforces anything.

Cannot ship before: CNV-1-API","","Conversation","2","Block 6","web","conversation","agent"
"Story","CNV-3-API customer — I reply on my own ticket; replying to a resolved one reopens it","*customer* — I reply on my own ticket; replying to a resolved one reopens it

Story folder: .squad/stories/conversation/CNV-3-API-customer-reply-reopens/

Rules this story owns:
- T-5 — A reply to a resolved ticket reopens it, within a 14-day window.

Cannot ship before: CNV-1-API, TCK-11-API, WEB:POR-3-WEB","","Conversation","3","Block 6","api","conversation","customer"
"Story","CNV-3-WEB customer — I reply on my own ticket; replying to a resolved one reopens it","*customer* — I reply on my own ticket; replying to a resolved one reopens it

Story folder: .squad/stories/conversation/CNV-3-WEB-customer-reply-reopens/

Rules this story owns:
- T-5 — A reply to a resolved ticket reopens it, within a 14-day window.

Cannot ship before: CNV-1-API, TCK-11-API, WEB:POR-3-WEB","","Conversation","2","Block 6","web","conversation","customer"
"Story","CNV-4-API agent — a long thread pages rather than arriving whole","*agent* — a long thread pages rather than arriving whole

Story folder: .squad/stories/conversation/CNV-4-API-thread-pages/

Rules this story owns:
- BR-4 — No unbounded list: paginated, filterable, sortable, with a maximum page size.

Cannot ship before: CNV-1-API","","Conversation","3","Block 6","api","conversation","agent"
"Story","CNV-4-WEB agent — a long thread pages rather than arriving whole","*agent* — a long thread pages rather than arriving whole

Story folder: .squad/stories/conversation/CNV-4-WEB-thread-pages/

Rules this story owns:
- BR-4 — No unbounded list: paginated, filterable, sortable, with a maximum page size.

Cannot ship before: CNV-1-API","","Conversation","2","Block 6","web","conversation","agent"
"Story","SLA-1-API system — a ticket carries both deadlines, from its priority","*system* — a ticket carries both deadlines, from its priority

Story folder: .squad/stories/service-levels/SLA-1-API-deadlines-from-priority/

Rules this story owns:
- S-1 — Two clocks from creation: response and resolution.
- S-2 — Targets by priority: urgent 1h/4h, high 4h/24h, normal 8h/72h, low 24h/168h — fixed by the seed, by decision.
- S-3 — Clocks run 24/7; there is no working-hours calendar, by decision.

Cannot ship before: PLT-2-API","","Service levels","5","Block 3","api","service-levels","system"
"Story","SLA-2-API agent — time waiting on the customer is not counted against me","*agent* — time waiting on the customer is not counted against me

Story folder: .squad/stories/service-levels/SLA-2-API-paused-time/

Rules this story owns:
- S-4 — Time spent pending is not counted against the resolution clock.

Cannot ship before: SLA-1-API, TCK-4-API","","Service levels","5","Block 8","api","service-levels","agent"
"Story","SLA-3-API agent — a missed deadline is recorded once and shown on the queue","*agent* — a missed deadline is recorded once and shown on the queue

Story folder: .squad/stories/service-levels/SLA-3-API-recorded-breach/

Rules this story owns:
- S-5 — A breach is a stored row, never recomputed on read.

Cannot ship before: SLA-2-API","","Service levels","5","Block 8","api","service-levels","agent"
"Story","SLA-3-WEB agent — a missed deadline is recorded once and shown on the queue","*agent* — a missed deadline is recorded once and shown on the queue

Story folder: .squad/stories/service-levels/SLA-3-WEB-recorded-breach/

Rules this story owns:
- S-5 — A breach is a stored row, never recomputed on read.

Cannot ship before: SLA-2-API","","Service levels","3","Block 8","web","service-levels","agent"
"Story","SLA-3-MOB agent — a missed deadline is recorded once and shown on the queue","*agent* — a missed deadline is recorded once and shown on the queue

Story folder: .squad/stories/service-levels/SLA-3-MOB-recorded-breach/

Rules this story owns:
- S-5 — A breach is a stored row, never recomputed on read.

Cannot ship before: SLA-2-API","","Service levels","2","Block 10","mob","service-levels","agent"
"Story","SLA-4-API admin — a missed resolution deadline raises it and tells me, once","*admin* — a missed resolution deadline raises it and tells me, once

Story folder: .squad/stories/service-levels/SLA-4-API-escalation-once/

Rules this story owns:
- S-6 — A resolution breach raises priority one level and notifies an admin exactly once, enforced by a constraint.

Cannot ship before: SLA-3-API, NTF-1-API","","Service levels","8","Block 8","api","service-levels","admin"
"Story","SLA-5-API system — the seed runs the escalation once","*system* — the seed runs the escalation once

Story folder: .squad/stories/service-levels/SLA-5-API-seed-escalation/

Rules this story owns:
- SC-3 — The demo database is generated; schema plus seed produces a working system.

Cannot ship before: SLA-4-API","","Service levels","2","Block 8","api","service-levels","system"
"Story","NTF-1-API agent — I am told when a ticket becomes mine","*agent* — I am told when a ticket becomes mine

Story folder: .squad/stories/notifications/NTF-1-API-assigned-to-me/

Owns no rule of its own.

Cannot ship before: TCK-3-API","","Notifications","3","Block 7","api","notifications","agent"
"Story","NTF-2-API any — I read my notifications","*any* — I read my notifications

Story folder: .squad/stories/notifications/NTF-2-API-read-notifications/

Rules this story owns:
- BR-4 — No unbounded list: paginated, filterable, sortable, with a maximum page size.

Cannot ship before: NTF-1-API","","Notifications","2","Block 8","api","notifications","any"
"Story","NTF-2-WEB any — I read my notifications","*any* — I read my notifications

Story folder: .squad/stories/notifications/NTF-2-WEB-read-notifications/

Rules this story owns:
- BR-4 — No unbounded list: paginated, filterable, sortable, with a maximum page size.

Cannot ship before: NTF-1-API","","Notifications","2","Block 8","web","notifications","any"
"Story","CHN-1-API customer — a ticket enters through the channel interface, not around it","*customer* — a ticket enters through the channel interface, not around it

Story folder: .squad/stories/channels/CHN-1-API-channel-interface/

Rules this story owns:
- SC-2 — Every rule is enforced in the API; no client enforces anything.

Cannot ship before: TCK-1-API, CUS-5-API","","Channels","5","Block 5","api","channels","customer"
"Story","CHN-2-API developer — an unimplemented channel says so rather than failing quietly","*developer* — an unimplemented channel says so rather than failing quietly

Story folder: .squad/stories/channels/CHN-2-API-unbuilt-says-so/

Rules this story owns:
- E-3 — 501 means named and deliberately not built — never 404.

Cannot ship before: CHN-1-API","","Channels","2","Block 5","api","channels","developer"
"Story","CHN-3-API system — the public intake is throttled per address","*system* — the public intake is throttled per address

Story folder: .squad/stories/channels/CHN-3-API-intake-throttle/

Rules this story owns:
- E-2 — Every failure returns its documented code: 400 401 403 404 409 422 429 500 501.

Cannot ship before: CHN-1-API","","Channels","3","Block 5","api","channels","system"
"Story","POR-1-WEB customer — I raise a ticket without an account","*customer* — I raise a ticket without an account

Story folder: .squad/stories/portal/POR-1-WEB-raise-without-account/

Owns no rule of its own.

Cannot ship before: CHN-1-API","","Portal","5","Block 5","web","portal","customer"
"Story","POR-2-WEB customer — I sign in and see my tickets and nothing else","*customer* — I sign in and see my tickets and nothing else

Story folder: .squad/stories/portal/POR-2-WEB-my-tickets-only/

Rules this story owns:
- SC-2 — Every rule is enforced in the API; no client enforces anything.

Cannot ship before: CUS-6-API, TCK-8-API","","Portal","5","Block 5","web","portal","customer"
"Story","POR-3-WEB customer — I read my ticket: the replies, never the internal notes","*customer* — I read my ticket: the replies, never the internal notes

Story folder: .squad/stories/portal/POR-3-WEB-replies-not-notes/

Rules this story owns:
- SC-2 — Every rule is enforced in the API; no client enforces anything.

Cannot ship before: CNV-2-API, POR-2-WEB","","Portal","3","Block 6","web","portal","customer"
"Story","RPT-1-API admin — I see the queue by status","*admin* — I see the queue by status

Story folder: .squad/stories/reports/RPT-1-API-queue-by-status/

Owns no rule of its own.

Cannot ship before: TCK-2-API","","Reports","3","Block 9","api","reports","admin"
"Story","RPT-1-WEB admin — I see the queue by status","*admin* — I see the queue by status

Story folder: .squad/stories/reports/RPT-1-WEB-queue-by-status/

Owns no rule of its own.

Cannot ship before: TCK-2-API","","Reports","3","Block 9","web","reports","admin"
"Story","RPT-2-API admin — I see what share of tickets met their promise","*admin* — I see what share of tickets met their promise

Story folder: .squad/stories/reports/RPT-2-API-promise-share/

Rules this story owns:
- S-5 — A breach is a stored row, never recomputed on read.

Cannot ship before: SLA-3-API","","Reports","5","Block 9","api","reports","admin"
"Story","RPT-2-WEB admin — I see what share of tickets met their promise","*admin* — I see what share of tickets met their promise

Story folder: .squad/stories/reports/RPT-2-WEB-promise-share/

Rules this story owns:
- S-5 — A breach is a stored row, never recomputed on read.

Cannot ship before: SLA-3-API","","Reports","2","Block 9","web","reports","admin"
"Story","RPT-3-API admin — I see load per agent, idle agents shown as zero","*admin* — I see load per agent, idle agents shown as zero

Story folder: .squad/stories/reports/RPT-3-API-agent-load/

Owns no rule of its own.

Cannot ship before: TCK-3-API","","Reports","3","Block 9","api","reports","admin"
"Story","RPT-3-WEB admin — I see load per agent, idle agents shown as zero","*admin* — I see load per agent, idle agents shown as zero

Story folder: .squad/stories/reports/RPT-3-WEB-agent-load/

Owns no rule of its own.

Cannot ship before: TCK-3-API","","Reports","2","Block 9","web","reports","admin"
"Story","RPT-4-API admin — today means today where I am, not in UTC","*admin* — today means today where I am, not in UTC

Story folder: .squad/stories/reports/RPT-4-API-reader-timezone/

Rules this story owns:
- BR-3 — Time is UTC in storage, the reader's locale on display.

Cannot ship before: RPT-1-API","","Reports","3","Block 9","api","reports","admin"
"Story","RPT-4-WEB admin — today means today where I am, not in UTC","*admin* — today means today where I am, not in UTC

Story folder: .squad/stories/reports/RPT-4-WEB-reader-timezone/

Rules this story owns:
- BR-3 — Time is UTC in storage, the reader's locale on display.

Cannot ship before: RPT-1-API","","Reports","2","Block 9","web","reports","admin"
"Story","RPT-5-WEB admin — average satisfaction, and how many answers it rests on","*admin* — average satisfaction, and how many answers it rests on

Story folder: .squad/stories/reports/RPT-5-WEB-satisfaction-report/

Owns no rule of its own.

Cannot ship before: SAT-2-API, RPT-1-WEB","","Reports","2","Block 12","web","reports","admin"
"Story","AUD-1-API system — every change writes an audit row","*system* — every change writes an audit row

Story folder: .squad/stories/audit/AUD-1-API-every-change-audited/

Rules this story owns:
- BR-2 — Every mutation is audited: actor, entity, action, before, after, timestamp.

Cannot ship before: PLT-3-API","","Audit","5","Block 1","api","audit","system"
"Story","AUD-2-API admin — I read the audit log filtered by person, thing or date","*admin* — I read the audit log filtered by person, thing or date

Story folder: .squad/stories/audit/AUD-2-API-read-audit-log/

Rules this story owns:
- BR-4 — No unbounded list: paginated, filterable, sortable, with a maximum page size.

Cannot ship before: AUD-1-API","","Audit","3","Block 8","api","audit","admin"
"Story","AUD-2-WEB admin — I read the audit log filtered by person, thing or date","*admin* — I read the audit log filtered by person, thing or date

Story folder: .squad/stories/audit/AUD-2-WEB-read-audit-log/

Rules this story owns:
- BR-4 — No unbounded list: paginated, filterable, sortable, with a maximum page size.

Cannot ship before: AUD-1-API","","Audit","3","Block 8","web","audit","admin"
"Story","KB-1-API admin — I write and publish an article in both languages","*admin* — I write and publish an article in both languages

Story folder: .squad/stories/knowledge-base/KB-1-API-write-publish/

Rules this story owns:
- BR-6 — Two languages, always, in resource files, never hardcoded.
- BR-5 — No silent overwrite: a write carries the revision it read; a mismatch returns 409. Applies to status change, assignment, priority change, article edit.

Cannot ship before: PLT-4-API","","Knowledge base","5","Block 11","api","knowledge-base","admin"
"Story","KB-1-WEB admin — I write and publish an article in both languages","*admin* — I write and publish an article in both languages

Story folder: .squad/stories/knowledge-base/KB-1-WEB-write-publish/

Rules this story owns:
- BR-6 — Two languages, always, in resource files, never hardcoded.
- BR-5 — No silent overwrite: a write carries the revision it read; a mismatch returns 409. Applies to status change, assignment, priority change, article edit.

Cannot ship before: PLT-4-API","","Knowledge base","5","Block 11","web","knowledge-base","admin"
"Story","KB-2-API agent — I search articles by their text","*agent* — I search articles by their text

Story folder: .squad/stories/knowledge-base/KB-2-API-article-search/

Rules this story owns:
- BR-4 — No unbounded list: paginated, filterable, sortable, with a maximum page size.

Cannot ship before: KB-1-API","","Knowledge base","5","Block 11","api","knowledge-base","agent"
"Story","KB-2-WEB agent — I search articles by their text","*agent* — I search articles by their text

Story folder: .squad/stories/knowledge-base/KB-2-WEB-article-search/

Rules this story owns:
- BR-4 — No unbounded list: paginated, filterable, sortable, with a maximum page size.

Cannot ship before: KB-1-API","","Knowledge base","3","Block 11","web","knowledge-base","agent"
"Story","KB-3-WEB agent — I put an article into a reply as editable text","*agent* — I put an article into a reply as editable text

Story folder: .squad/stories/knowledge-base/KB-3-WEB-article-into-reply/

Owns no rule of its own.

Cannot ship before: KB-2-WEB, CNV-1-WEB","","Knowledge base","3","Block 11","web","knowledge-base","agent"
"Story","KB-4-API customer — I read and search published articles without signing in","*customer* — I read and search published articles without signing in

Story folder: .squad/stories/knowledge-base/KB-4-API-public-articles/

Owns no rule of its own.

Cannot ship before: KB-2-API","","Knowledge base","3","Block 11","api","knowledge-base","customer"
"Story","KB-4-WEB customer — I read and search published articles without signing in","*customer* — I read and search published articles without signing in

Story folder: .squad/stories/knowledge-base/KB-4-WEB-public-articles/

Owns no rule of its own.

Cannot ship before: KB-2-API","","Knowledge base","3","Block 11","web","knowledge-base","customer"
"Story","KB-5-API admin — an article's edits are kept, so a bad one is recoverable","*admin* — an article's edits are kept, so a bad one is recoverable

Story folder: .squad/stories/knowledge-base/KB-5-API-edits-kept/

Rules this story owns:
- BR-1 — Nothing is hard-deleted. Deletion sets deleted_at; the audit row survives.

Cannot ship before: KB-1-API","","Knowledge base","5","Block 11","api","knowledge-base","admin"
"Story","SAT-1-API customer — I say whether the answer helped, once","*customer* — I say whether the answer helped, once

Story folder: .squad/stories/satisfaction/SAT-1-API-rate-once/

Owns no rule of its own.

Cannot ship before: TCK-4-API, POR-2-WEB","","Satisfaction","3","Block 12","api","satisfaction","customer"
"Story","SAT-1-WEB customer — I say whether the answer helped, once","*customer* — I say whether the answer helped, once

Story folder: .squad/stories/satisfaction/SAT-1-WEB-rate-once/

Owns no rule of its own.

Cannot ship before: TCK-4-API, POR-2-WEB","","Satisfaction","2","Block 12","web","satisfaction","customer"
"Story","SAT-2-API admin — the ratings become a number I can act on","*admin* — the ratings become a number I can act on

Story folder: .squad/stories/satisfaction/SAT-2-API-ratings-become-number/

Owns no rule of its own.

Cannot ship before: SAT-1-API","","Satisfaction","3","Block 12","api","satisfaction","admin"
"Story","AST-1-API developer — one interface, a recorded stub, and a rate limit","*developer* — one interface, a recorded stub, and a rate limit

Story folder: .squad/stories/assist/AST-1-API-assist-seam/

Owns no rule of its own.

Cannot ship before: PLT-3-API","","Assist","5","Block 12","api","assist","developer"
"Story","AST-2-API agent — I summarise a long ticket","*agent* — I summarise a long ticket

Story folder: .squad/stories/assist/AST-2-API-summarise/

Owns no rule of its own.

Cannot ship before: AST-1-API, CNV-4-API","","Assist","3","Block 12","api","assist","agent"
"Story","AST-2-WEB agent — I summarise a long ticket","*agent* — I summarise a long ticket

Story folder: .squad/stories/assist/AST-2-WEB-summarise/

Owns no rule of its own.

Cannot ship before: AST-1-API, CNV-4-API","","Assist","2","Block 12","web","assist","agent"
"Story","AST-3-API agent — I get a draft I edit before sending; nothing is sent for me","*agent* — I get a draft I edit before sending; nothing is sent for me

Story folder: .squad/stories/assist/AST-3-API-draft-not-sent/

Owns no rule of its own.

Cannot ship before: AST-1-API","","Assist","5","Block 12","api","assist","agent"
"Story","AST-3-WEB agent — I get a draft I edit before sending; nothing is sent for me","*agent* — I get a draft I edit before sending; nothing is sent for me

Story folder: .squad/stories/assist/AST-3-WEB-draft-not-sent/

Owns no rule of its own.

Cannot ship before: AST-1-API","","Assist","3","Block 12","web","assist","agent"
"Story","AST-4-API agent — when the assist is unavailable the ticket still works","*agent* — when the assist is unavailable the ticket still works

Story folder: .squad/stories/assist/AST-4-API-fallback/

Owns no rule of its own.

Cannot ship before: AST-1-API","","Assist","3","Block 12","api","assist","agent"
"Story","AST-4-WEB agent — when the assist is unavailable the ticket still works","*agent* — when the assist is unavailable the ticket still works

Story folder: .squad/stories/assist/AST-4-WEB-fallback/

Owns no rule of its own.

Cannot ship before: AST-1-API","","Assist","2","Block 12","web","assist","agent"
